,fCHL μgL WS HR mean,fCHL μgL EXO HR mean,fCHL μgL EXO HR median,NO3 uM SUNA HR mean,CL_ID,Location,Latitude,Longitude,USGS_Stati,Station_ID,USGS_Sta_1,DigitalLat,DigitalLon,Subregions
143,12.07457659,7.137228083,7.130133597,1.40602125,A3527,San Joaquin River,38.028607,-121.77025, , ,,,,Western Delta Tidal Zone
144,12.16936544,6.946435869,6.816935735,1.596434455,A3528,San Joaquin River,38.02864,-121.772216, , ,,,,Western Delta Tidal Zone
145,12.19650418,7.222404342,7.273129726,1.7219225,A3529,San Joaquin River,38.028524,-121.77397, , ,,,,Western Delta Tidal Zone
146,12.27597688,7.260273066,7.280371508,1.76727975,A3530,San Joaquin River,38.02858,-121.77588, , ,,,,Western Delta Tidal Zone
147,12.04744213,7.289667872,7.266983315,1.725557727,A3531,San Joaquin River,38.029296,-121.77801, , ,,,,Western Delta Tidal Zone
148,11.69286416,6.951950692,6.937015828,1.7270409,A3532,San Joaquin River,38.029267,-121.779843, , ,,,,Western Delta Tidal Zone
149,11.69024866,7.339992792,7.419248598,1.591199727,A3533,San Joaquin River,38.029155,-121.781691, , ,,,,Western Delta Tidal Zone
150,12.42347212,8.222998674,8.373323017,1.4906805,A3534,San Joaquin River,38.027675,-121.783116, , ,,,,Western Delta Tidal Zone
151,12.63924302,8.401951375,8.395171663,1.45016745,A3535,San Joaquin River,38.026048,-121.784503, , ,,,,Western Delta Tidal Zone
152,13.03586246,7.974637068,7.834990374,1.57911,A3536,San Joaquin River,38.024892,-121.78612, , ,,,,Western Delta Tidal Zone
153,13.38138678,8.87059812,8.873715754,1.643547,A3537,San Joaquin River,38.024795,-121.787968, , ,,,,Western Delta Tidal Zone
154,13.79729085,8.669398913,8.555465266,1.7539125,A3538,San Joaquin River,38.024397,-121.789742, , ,,,,Western Delta Tidal Zone
155,14.4333038,8.813955064,8.82075031,1.810756269,A3539,San Joaquin River,38.0243,-121.791581, , ,,,,Western Delta Tidal Zone
156,15.14861989,9.568229872,9.580779118,1.854311885,A3540,San Joaquin River,38.023986,-121.793352, , ,,,,Western Delta Tidal Zone
157,15.24194229,9.373662648,9.442357129,1.823148,A3555,San Joaquin River,38.020505,-121.793882, , ,,,,Western Delta Tidal Zone
158,15.16045054,9.041319573,9.093586349,1.717269409,A3556,San Joaquin River,38.021301,-121.79626, , ,,,,Western Delta Tidal Zone
159,15.4022821,9.232041499,9.280490215,1.740888,A3557,San Joaquin River,38.020955,-121.798023, , ,,,,Western Delta Tidal Zone
160,15.65519846,9.53328218,9.642846893,1.8375435,A3558,San Joaquin River,38.021279,-121.80003, , ,,,,Western Delta Tidal Zone
161,15.02595553,9.637872501,9.592965817,1.7525415,A3559,San Joaquin River,38.021137,-121.801878, , ,,,,Western Delta Tidal Zone
162,14.14847679,8.340434203,8.402489627,1.696930313,A3560,San Joaquin River,38.020773,-121.80369, , ,,,,Western Delta Tidal Zone
163,13.85935572,8.034513063,7.989036676,1.776174393,A3561,San Joaquin River,38.020466,-121.805512, , ,,,,Western Delta Tidal Zone
164,14.85215053,8.97765727,8.891358025,1.770860394,A3562,San Joaquin River,38.019799,-121.807363, , ,,,,Western Delta Tidal Zone
