CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA raw	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA
A3963	38.10775	-121.70363	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	13.22	16.88	161.35	7.65	9.93	102.51	9.68	1.51	21.00	2.49	22.93	16.89	136.4	0.08	0.84	2.58	0.83	0.53	4.82	14.96	57.17	16.92	10.90
A3404	38.10947	-121.57756	Mokelumne Tidal Transition Zone	Mokelumne River	May-2024	13.46	16.53	128.35	7.60	10.77	110.34	9.13	0.95	17.02	1.64	18.64	16.43	108.0	0.06	0.11	2.70	0.21	0.60	3.66	2.89	74.98	3.99	17.88
A4181	38.11062	-121.50051	Mokelumne Tidal Transition Zone	Little Potato Slough	May-2024	11.27	17.15	114.47	7.56	10.03	104.17	7.47	1.00	20.43	1.72	22.61	17.15	98.2	0.06	0.03	1.79	0.00	0.79	2.65	1.14	68.68	0.00	30.31
A3954	38.11037	-121.69217	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	13.44	17.09	166.70	7.64	9.82	101.90	8.49	1.67	22.21	2.67	24.25	17.08	141.6	0.08	0.86	2.54	0.79	0.76	4.93	14.66	54.54	15.17	15.61
A3402	38.11062	-121.58097	Mokelumne Tidal Transition Zone	Mokelumne River	May-2024	13.63	16.46	125.78	7.51	10.48	107.27	8.66	0.88	16.65	1.52	18.19	16.43	105.6	0.06	0.13	2.62	0.09	0.61	3.49	3.50	76.48	1.65	18.27
A1037	38.10343	-122.05237	Suisun Bay	Grizzly Bay	May-2024	23.84	16.95	1222.32	7.79	9.81	101.70	72.56	5.50	48.63	7.91	69.96	16.95	1036.7	0.61	4.87	8.12	5.37	0.00	18.39	26.81	44.07	28.94	0.00
A714	38.10749	-121.71051	Western Delta Tidal Transition Zone	Sacramento River	May-2024	14.14	16.45	148.61	7.64	9.83	100.55	10.77	1.16	17.82	1.81	19.98	16.44	125.2	0.05	0.13	2.82	0.62	0.34	3.96	2.35	73.67	15.69	8.28
A3946	38.11218	-121.68316	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	13.77	17.71	190.32	7.71	9.80	102.82	8.75	2.16	27.15	3.52	29.84	17.72	164.9	0.09	1.51	2.86	1.71	0.29	6.29	23.33	44.94	26.96	5.08
A4179	38.11295	-121.49837	Mokelumne Tidal Transition Zone	Little Potato Slough	May-2024	11.29	17.14	114.06	7.55	9.89	102.68	7.42	1.02	20.42	1.76	22.62	17.15	97.9	0.06	0.06	1.76	0.00	0.83	2.68	2.14	66.71	0.00	31.39
A3952	38.11275	-121.69009	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	13.54	17.19	169.98	7.65	9.77	101.54	8.54	1.75	22.91	2.81	25.01	17.17	144.7	0.08	0.99	2.59	0.93	0.70	5.18	16.02	53.05	16.65	14.26
A3400	38.11273	-121.58355	Mokelumne Tidal Transition Zone	Mokelumne River	May-2024	13.57	16.40	122.90	7.47	10.24	104.67	8.39	0.84	16.41	1.45	17.90	16.39	103.0	0.06	0.13	2.63	0.04	0.58	3.39	3.51	78.73	0.63	17.15
A712	38.11034	-121.70864	Western Delta Tidal Transition Zone	Sacramento River	May-2024	13.96	16.39	147.43	7.62	9.90	101.24	10.82	1.16	17.75	1.83	19.84	16.39	124.0	0.05	0.13	2.79	0.63	0.34	3.91	3.01	72.61	15.86	8.19
A710	38.11182	-121.70525	Western Delta Tidal Transition Zone	Sacramento River	May-2024	13.37	16.45	149.17	7.62	9.91	101.49	10.51	1.22	18.18	2.02	20.00	16.44	124.4	0.06	0.32	2.72	0.73	0.35	4.16	7.09	66.80	16.98	8.06
A3950	38.11460	-121.68730	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	13.57	17.36	176.07	7.68	9.70	101.07	8.68	1.90	24.15	3.05	26.40	17.35	150.5	0.09	1.23	2.70	1.25	0.50	5.65	18.80	50.67	20.58	10.02
A3948	38.11522	-121.68343	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	13.65	17.76	191.25	7.73	9.70	101.82	8.87	2.20	27.28	3.60	29.97	17.78	165.5	0.09	1.65	2.92	1.86	0.15	6.52	24.75	44.49	28.71	2.44
A3336	38.11613	-121.50160	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	10.71	17.13	113.15	7.53	9.67	100.29	7.56	1.03	20.35	1.75	22.44	17.14	97.2	0.06	0.07	1.82	0.00	0.81	2.75	2.42	67.62	0.01	30.01
A3334	38.11614	-121.49791	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	10.93	17.14	113.04	7.54	9.59	99.54	7.45	1.06	20.33	1.77	22.42	17.14	97.1	0.06	0.07	1.81	0.00	0.86	2.79	2.59	66.12	0.07	31.22
A708	38.11455	-121.70373	Western Delta Tidal Transition Zone	Sacramento River	May-2024	13.22	16.41	147.28	7.61	9.88	101.04	9.92	1.19	17.90	1.99	19.63	16.43	123.2	0.06	0.33	2.62	0.70	0.39	4.10	7.52	65.33	16.56	8.75
A3397	38.11695	-121.58479	Mokelumne Tidal Transition Zone	Mokelumne River	May-2024	13.47	16.34	120.10	7.45	9.95	101.56	8.24	0.81	16.44	1.40	17.97	16.33	100.3	0.06	0.13	2.66	0.00	0.51	3.32	3.59	81.42	0.00	15.10
A3332	38.11787	-121.49504	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	10.58	17.14	112.64	7.53	9.49	98.52	7.33	1.06	20.25	1.75	22.31	17.14	96.8	0.06	0.06	1.87	0.01	0.85	2.83	1.84	67.24	0.38	30.55
A706	38.11700	-121.70184	Western Delta Tidal Transition Zone	Sacramento River	May-2024	13.25	16.37	145.40	7.61	9.88	100.92	9.41	1.16	17.66	1.93	19.38	16.41	122.2	0.06	0.33	2.52	0.64	0.44	3.99	6.99	65.17	15.74	10.04
A3395	38.11981	-121.58417	Mokelumne Tidal Transition Zone	Mokelumne River	May-2024	13.33	16.31	118.38	7.44	9.91	101.06	8.23	0.79	16.65	1.39	18.24	16.31	98.7	0.06	0.13	2.69	0.00	0.49	3.31	3.65	82.40	0.00	14.35
